Title,Speaker,Speech
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Grassley,"It’s important for the committee to fully understand the FBI’s caseload regarding domestic extremism cases. I have a series of data-driven and data-centered questions for you that I’ll give a list of these in sequence. I’d prefer the answers now, but if you don’t have them, I’ll accept those answers after the hearing, as long as you commit to do so."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Grassley,So this is a series of questions. What percentage of your investigation regarding January 6th are predicated as racially motivated violent extremists or white supremacist originated individuals?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Grassley,"Secondly, what percentage are other extremist ideologies for domestic violence extremists, homegrown violent extremists, and international extremists? How many total FBI investigations are ongoing? And of that figure, one, how many are motivated by jihadist ideology and how many are motivated by white supremacy ideology, and how many are motivated by left wing anarchist ideologies? We need data and I hope you see our need for this data."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Grassley,So can you answer those now or do you want to get back in writing?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Well, I will certainly get back to them. I’m aware that we’ve gotten a letter that goes through in quite detail a number of specific data requests and we’re working on that response as we speak. There are probably some things I could say sitting here right now."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"As I said to the Chairman, although I don’t have the percentage for you, the attackers on January 6th included a number, and the number keeps growing as we build out our investigations, of what we would call militia violent extremism. And we have had some already arrested who we would put in the category of racially motivated violent extremism, white as well. Those would be the categories so far that we’re seeing as far as January 6th."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Now, looking back bigger picture because I think the rest of your question goes more to our caseload overall, I can say a number of things on that. In terms of domestic violent extremism, domestic terrorism, that number has grown steadily on my watch. So we’ve increased the number of domestic terrorism investigations from around 1,000 or so when I got here, to up to about 1,400 at the end of last year, to about 2,000 now. That’s domestic terrorism overall."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"When it comes to racially motivated violent extremism, that number, again, number of investigations and number of arrests has grown significantly on my watch, and the number of arrests, for example, of racially motivated violent extremists who are what you would categorize as white supremacists last year was almost triple the number it was in my first year as director. And when it comes to anarchist violent extremists, which is another category that you asked about, that number has also grown over the course of my tenure. Last year, I think we had more arrests of anarchist violent extremists than in the prior three years combined."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Grassley,Can I stop you there?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,Yeah.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Grassley,"Because you’ve done a good job of giving us an overall view, and I assume in writing, we can get specific answers. And the numbers are very important. Data is very important."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Grassley,"Former acting DHS Secretary Wolf has stated quote, or not quote, that the lack of visibility into the anarchism extremist movement may have caused the federal government to be under-prepared for the riots this summer. Former Attorney General Barr stated that the FBI has robust programs for white supremacy and militia extremism, but a significantly weaker anarchic extremism program. So unless you disagree with Wolf or Barr, how do you plan to make your left wing anarchist extremism program as robust as your white supremacy and malicious extremism program?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Well, I think that’s a long and complicated question to answer in a sense, but I’ll give you a few things for right now. One is I think, as with any domestic terrorism threat, or frankly, any counter-terrorism threat more broadly, we’re always looking to develop more and better sources so we get more visibility and insight into the plans and intentions, tactics, procedures, et cetera, of any group of violent extremists, and the other is to get better at learning how to navigate around some of the operational tradecraft that they use."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"So the more times, the more arrests we see, and this is relevant both for the anarchist violent extremists and for the racially motivated violent extremists, for example, the more of the arrests that you see, well, that’s obviously good news for everybody that we’re arresting people who need to be arrested. There’s a whole nother part of that that’s really important that I want to emphasize, which is the more arrests we make, the more from those cases we learn about who else their contacts are, what their tactics are, what their strategies are, et cetera. And that makes us smarter and better able to get in front of the threat going forward."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Grassley,"Mr. Chairman, can I ask one very short question that I think will give a short answer? And then I’ll submit questions in writing if we don’t have a second round. Why hasn’t the FBI produced the January 5th, 2021 Norfolk memo to Congress?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"So that information is law enforcement sensitive. I’m aware of the interest. And I think part of the reason it had been withheld in consultation with the department had been the ongoing investigations that we have, but I certainly understand the interest and I can commit to you that I will get with my staff and see if can make that available."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Grassley,Okay. Thank you.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,Senator Leahy by remote.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Leahy,"Am I un-muted now, Mr. Chairman?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,"Yes, you are."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Leahy,"Thank you. Director Wray, thank you for being here. I don’t envy your job at all. For those of us who’ve been here a long time, we’ve seen the changes, dramatic changes that go on in what you face. You’ve always spoken about the truth about the threat of domestic terrorism, and I know that sometimes it’s been politically difficult to do so. You have to deal with reality. You can’t deal with the politics. So I’ll ask you a few quick questions to begin with. Do you stand by your previous testimony that white supremist extremism is the dominant, most persistent source of domestic terrorism threat that we face today?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"I’m sorry, I couldn’t hear the last part of the question, which I think may be the key part. So I just want to make sure-"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Leahy,"[inaudible 00:48:06]. Do you stand by your previous testimony that white supremacist extremism is the dominant, most persistent source of domestic terrorism threats we faced today?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"I would certainly say, as I think I’ve said consistently in the past, that racially motivated violent extremism, specifically of the sort that advocates for the superiority of the white race, is a persistent, evolving threat. It’s the biggest chunk of our racially motivated violent extremism cases for sure, and racially motivated violent extremism is the biggest chunk of our domestic terrorism portfolio, if you will, overall. I will also say that same group of people we’re talking about have been responsible for the most lethal attacks over the last say decade."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Leahy,"And when I look at what happened on January 6th, it appears that right wing white supremacist groups played an instrumental role in the violent assault. Is that your conclusion also?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Well, let me answer that this way. I think we’re basically saying the same thing. We don’t tend to think, we at the FBI don’t tend to think of violent extremism in terms of right, left. That’s not a spectrum that we look at. What I would say is that it is clear as I think I said to Chairman Durban that a large and growing number of the people that we have arrested so far in connection with the 6th are what would call militia violent extremists. And then there have been some already that have emerged who I would have put in the racially motivated violent extremist bucket, again, advocating for the superior of the white race."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Leahy,And I understand from your testimony previously that you did not see Antifa or left wing groups playing a significant role in the January 6th insurrection?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Certainly while we’re equal opportunity and looking for violent extremism of any ideology, we have not to date seen any evidence of anarchist violent extremists or people subscribing to Antifa in connection with the 6th. That doesn’t mean we’re not looking, and we’ll continue to look, but at the moment, we have not seen that."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Leahy,"So what you do is you look as somebody in law enforcement should. You look at where the crime was and who committed it, and you go after that, not from some kind of political vendetta, but you committed the crime, we’ll go after you. Is that too simplistic a way of stating it?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"No, no, not simplistic at all, and I think a very, very important point that you’re making there and something that’s very important to us at the FBI. We focus on the violence and the violations of federal law, and then the ideology comes into it as a further piece of the puzzle as we build out the case. But our focus is on the violence. We don’t care what ideology motivates somebody, as Judge Garland I think himself said just last week. We don’t care whether it’s left, right, up, down, diagonal or any other way. If the ideology is motivating violence and it violates federal law, we’re coming after it."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Leahy,"Well, I know you’re going to come before our Appropriations Committee, Senator Durbin and I are on that and others for a classified briefing, so I won’t go into some of the classified part. But we are going to talk to you, and I certainly, as Chair of that committee, very interested in resources. You’ve got a finite number of resources and you have an infinite number of problems. So you have to prioritize them."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Leahy,I had heard reports that the previous administration diverted FBI resources away from countering white supremacist violence toward an objectively lesser threat of left wing violence. Were you directed at all to shift resources away from right wing extremists?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"We did not receive direction to nor did we separate or divert resources away from tackling racially motivated violent extremism white, over to anarchist violent extremism or anything along those lines. In fact, as I’ve said, we, I, elevated racially motivated violent extremism, the vast majority of which is of what you would call white supremacist violence, to our highest threat priority, where it has stayed. And that drives resources, that drives the collection requirements for all of our field offices, and I think the results speak for themselves. We have significantly grown the number of investigations and arrests in the category that you’re asking about. It was up to about 1400 by the end of last year, and it’s up to about 2000 now, which has doubled where it was the pace when I started this job."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Leahy,"Well, and that’s why I would expect you to go where the crimes are and go after it, but we’ve seen a lot of hate crime, certainly concerns of the hate crimes against Asian Americans. I was the lead co-sponsor of the Matthew Shepard Hate Crimes Prevention. But now, when we see the increases, a recent FBI report indicates that 87% of law enforcement agencies participating in the FBI’s hate crime data collection have reported zero hate crime incidents within their jurisdictions. Do you think that’s accurate?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Well, certainly we are constantly trying to improve the quality and quantity of reporting on hate crimes. I think we know that historically, hate crimes are under-reported."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Having said that, it’s not necessarily the case that every department out there in the country is going to have had a hate crime in its jurisdiction in the course of any given year. So we’ve focused a little bit less on the percentage of departments that report it. We do want the percentage of departments who are cooperating and voluntarily responding to go up, and we focus more on whether or not the growth in the number of hate crimes reported overall seems to be building or not."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Leahy,"Well, certainly I have other questions for the record, but you’ve testified before about a fusion cell that developed and address both hate crimes and domestic terrorism. Has that been helpful?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"It has. So what you’re referring to is something that I put in place I guess about 18 months, maybe two years ago. I created a domestic terrorism hate crimes fusion cell, which brought together… Because a lot of these crimes could fit either into a domestic terrorism bucket or a hate crimes bucket. And what I was worried about was making sure that within the FBI, we didn’t have a left hand, right hand problem. And so we brought together people focusing on both into a single fusion cell, with the goal of trying to be proactive against some of the threats that are coming."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"And one example that I’ll cite that we’re particularly pleased with, which I think is an indication of the success the cell is having, is we were able to get in front of and prevent an attempted I think explosives attack on a synagogue in Colorado. And that, I think, is largely a credit to the fusion cell, which was able to kind of help us figure out how to get in front of those kinds of attacks."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,"Thank you, Senator Leahy."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Leahy,"Thank you. Thank you, Mr. Chairman."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,Senator Graham.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,"Thank you. Director Wray, I’m going to try to look forward, then we’ll talk a little bit about January the 6th. Do you think the National Guard presence at the Capitol at the level we have today should continue? If so, for how long?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Senator, I’m not sure that I’m really the best equipped to evaluate the National Guard presence."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,Okay. Fair enough. Fair enough. You are the best equipped to talk about the capability of the FBI. Do you have enough people and resources to deal with all the threats we’ve been talking about this morning?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Well, needless to say, Senator, I welcome and appreciate the question. Everywhere I go, someone has really good ideas about things they think the FBI should be doing more of, but I have not found very many people with great ideas, or at least responsible ideas of things the FBI could be doing less of. And so our folks are busting their you know whats-"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,"Yeah, I know [crosstalk 00:57:17]"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"To try to deal with all these threats. We need more agents. We need more analysts. We need more data analytics, et cetera."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,Let’s just stop there because we need to learn as much as we can from January the 6th. This is the 20th anniversary of 9/11. Are you concerned about international terrorists paying us a visit?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,Absolutely.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,Okay. Are you concerned about the interaction between international terrorists and domestic terrorists?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"That’s a growing phenomenon, certainly something we’re watching with concern."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,"One of my great concerns was that as people float into the Capitol with backpacks on, you had no idea who they were and what they were carrying. So it would’ve been very easy for some international terrorist group to infiltrate this crowd. Do you agree with that?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"I do think it would have been easy for that to happen. I don’t know that we’ve seen evidence that it did happen, but that’s certainly one of the specific things we’re looking for."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,"After the attack, don’t you think international groups are seeing this as a vulnerability in our system?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,I’m sorry. I couldn’t hear the…
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,International terrorist groups may have found a way to get closer to the Capitol by integrating themselves into domestic political movements.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Well, certainly we think the events on January 6th have been, at a minimum, and inspiration to a number of terrorist extremists out there, and may even have been worse than that."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,"So here’s my challenge to you. Sit down and put pen to paper, and think big, not small. What do you need that you don’t have in terms of agents and resources and put it to paper. I’m on the Appropriations Committee with Senator Durbin. Many of us here are. I think we’ve gotten an opportunity to here to plus you up. Is it fair to say that since 9/11, domestic terrorism has exploded as a threat?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Well, it’s certainly grown dramatically."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,"Okay, grown dramatically, which takes resources to combat. Is that correct?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,Yes.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,Has the FBI grown dramatically since 9/11?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,Not as dramatically as the threat.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,"Okay. So what I want you to do is take the number of agents and resources you had on 9/11 and tell us where you’re at today, and make sure that we understand that the threats you’re facing are much greater than they were 20 years ago, and challenge us to give you the resources to meet those threats."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,"Back to January the 6th, is it fair to say as Director of the FBI, you were not informed of the raw intelligence coming from the Norfolk office, is that correct?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,Not before January 6th.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,Okay. So this was an internet posting that somebody captured?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"My understanding is that this was information posted online under a moniker or a pseudonym. It was unvetted, uncorroborated information, and it was somewhat aspirational in nature, but it was concerning. It was concerning and was specific enough that our folks in Norfolk thought the need to get it out, even if we hadn’t had a chance to corroborate or vet it."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,"Okay. Looking back, what would you have done differently with this information? Because this is a hard one. You get something on the internet that’s concerning. You don’t know if it’s true or not. You capture it. What are the lessons learned in terms of how we could have acted better on that information?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"The truthful answer is we’re still looking at that. I look at intelligence both collection, analysis, dissemination. We need to get better at collecting obviously, but the key part here was we often don’t have the luxury of time to analyze this information before it gets disseminated. And in this instance, our folks in Norfolk and Washington field made the judgment that, and I think it was a reasonable judgment, to get the information, like I said, in three different ways to their partners, even though they didn’t know whether it was going to turn out to be accurate."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,"Let’s play that out a bit. Let’s say it made it up to the top levels of the Capitol police intelligence units, to the head of the Capitol police force, given that raw intelligence, what would you expect them to have done differently?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,I really want to be careful not to be an armchair quarterback here.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,"See, that’s the problem because I don’t know how to answer that question myself. Because you can capture stuff today that may foretell on an attack tomorrow, but how much… This is a problem. I just don’t want people to run down the road [inaudible 01:01:54] there’s an intel screenshot. I mean, there’s a screenshot on some computer somewhere. We need to turn the whole government upside down. It’s just a tough situation."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,"Is the Proud Boys, are they a domestic terrorist group."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Well, I don’t think we have treated the Proud Boys itself as a domestic terrorism group, but we certainly have individuals-"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,What does it take to make the list?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Well, there is, as you may know, Senator, under federal law, under US law, there is no list of domestic terrorism organizations the same way there is for foreign terrorist organization."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,"Well, let’s think about that in the next 47 seconds. Oathkeepers, are they a domestic terrorist organization?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Again, as with Proud Boys, we have individuals who associate themselves with that group who are domestic terrorists."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,"Was Antifa a domestic terrorist organization? Same thing, same answer?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,Same answer.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,"So why don’t we think about how to gather better information and expose some of these groups. If they were on a list, would it make it easier for you?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"I think the issue of whether or not to designate or have a formal mechanism for designating domestic terror groups in the same way we do with say Al-Qaeda or ISIS, I think there’s reasonable debate about whether or not it would really advance the needle-"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,Is the KKK a domestic terrorist group?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Well, that there is no legal designation of domestic terrorist group."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Graham,"My point is I don’t know if we should have one or not, but I think it’s time to think about it."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,"Thank you, Senator Graham. Senator Feinstein."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Feinstein,"Thanks very much, Mr. Chairman, and welcome. Last November, the Associated Press reported that hate crimes rose to the highest level in more than a decade. The AP also reported that the United States recorded the most hate-related killings since the FBI began collecting data in the 1980s. Despite this finding, only about 14% of the-"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Feinstein,"… despite this finding, only about 14% of the agencies in the FBI hate crimes report indicated that hate crimes occurred in their jurisdictions. So here’s the questions. What actions are you taking to make it easier for local agencies to collect and report this data to the FBI?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"I appreciate the question. As your question references, we do know that there is a phenomenon that I think is fairly widely accepted of under-reporting of hate crimes. And so, even though the number of hate crimes reported is continues to grow, we don’t know whether that means the number of hate crimes is growing, or whether the number of reports of it is now starting to grow. We are trying to do a lot, and we do hundreds of these outreach training, et cetera, of state and local law enforcement to help them understand better how to identify and report hate crimes. We also have a manual that we put out that helps explain better how to identify that. Of course, a lot of times, the offenses that they’re looking at under state and local laws don’t necessarily come with a neat label that says, “This is a hate crime,” on it, and so that’s part of the challenge, but we’re working with them to try to improve awareness so that we can get better reporting on the subject."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Feinstein,"Well, that’s certainly appreciated. I want to ask about the threat of domestic terrorism by white supremacists. It isn’t new, but it’s gained a lot of attention within intelligence circles in recent years, and it’s the biggest domestic terrorism threat, I understand. Last year, you testified before the House Armed… House Homeland Security Committee that, quote, “The most lethal of all domestic extremists since 2001 have been racially and ethnically motivated.” Similarly, the former acting DHS secretary testified before the Senate that, quote, “White supremacist extremists, from a lethality standpoint over the last two years, particularly when you look at 2018 and 19, are the most persistent and lethal threat.” When we talk about domestic extremists, why is the threat of white supremacist terrorism so prevalent in this country?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"You know, I think that’s a… some of that is a sociological question that I’m not sure that I’m really the right person to address. Certainly, as you say, it has been the biggest chunk of our racially motivated, violent extremism cases, and itself, the biggest chunk of our domestic terrorism caseload overall, and the most lethality over the last decade has been from these same extremists. The things that drive these people, I think, range. One of the things that we struggle with in particular is that more and more, the ideologies, if you will, that are motivating some of these violent extremists are less and less coherent, less and less linear, less and less easy to pin down. And in some cases, it seems like people coming up with their own sort of customized belief systems, a little bit of this, a little bit of that, and they put it together, maybe combined with some personal grievance of something that’s happened in their lives, and that drives them. And so trying to get your arms around that is a real challenge."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Feinstein,"Let me move on. There’s been a spike in gun sales during the pandemic. The New York Times reports that approximately 2 million guns were purchased in March of 2020. That’s the second-highest month ever. According to a July Politico article, there were 823,273 NICS checks in March of 2019, versus 1.4 million in March of 2020. So, in March of 2020, NICS blocked more than double the amount of the year before, a whopping 23,692 gun sales in one year. Simply put, there’s been a dramatic rise in gun sales that’s likely going to require some further action. What have you seen, and what will the FBI be doing and/or recommending?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"So in terms of what we’re seeing and because we all share the goal of trying to keep guns out of the hands of those who are legally prohibited from possessing them, which is of course the whole point of why NICS exists, last year, as you say, we’ve seen a significant increase. I think last time I checked, I think it was something like of the top 10 highest number of NICS checks per day or per week, ever, were all last year, maybe seven of the top 10 ever last year."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"So the numbers have been really significant during the course of 2020 and the pandemic. We have been trying very hard, and I think we’ve done a good job of staying on top of the required pace that we have to keep up with to be able to get that done, which has been… had required being creative because of COVID, and teleworking and all the things that we’ve had to work around to keep up with that. But it is a challenge, and I think the budget requests that we’ve had recently have asked for more resources for NICS, because we need to try to keep up with that pace."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Feinstein,"Thank you. As early as December 29th, the FBI warned about the potential for armed demonstrators targeting legislatures. The former chief of Capitol police, as well as the House and Senate Sergeants-of-Arms, have testified that they did not see the FBI’s warning on the eve of January 6th about potential violence in the Capitol. When did you first receive intelligence about the possibility of an attack on the Capitol on January 6th, and what happened to the process that people weren’t seeing the warnings?"
